scenario,method,seed,completed,failed,valid_for_paper,has_sentinel,has_zero_recovery_anomaly,path,selection_score,min_recovery_ratio,critical_load_recovery_ratio,communication_recovery_ratio,power_recovery_ratio,road_recovery_ratio,constraint_violation_rate_eval,invalid_action_rate_eval,wait_hold_usage_eval,mean_progress_delta_eval,eval_success_rate,safety_capacity_index,candidate_source,selected_candidate_id,fallback_used,fallback_reason,validation_status,rejection_reason,score_components
standard_severe,baseline_rl,42,True,False,True,False,False,paper_repair_results_fixed_v2/standard_severe/baseline_rl__seed42.json,0.3464226125876108,0.6142180860042572,0.8928419947624207,0.6501415967941284,0.8104100525379181,0.6142180860042572,0.0,0.0,0.2583333333333333,0.0046062087019284,0.0,0.8274710282683373,provenance_unavailable,,,,unknown,,
standard_severe,baseline_rl,43,True,False,True,False,False,paper_repair_results_fixed_v2/standard_severe/baseline_rl__seed43.json,0.2499966722897121,0.523142029841741,0.7816263536612192,0.5649993320306143,0.8224928577740988,0.523142029841741,0.2416666666666666,0.2416666666666666,0.2416666666666666,0.0032412119209766,0.0,0.6841689342260361,provenance_unavailable,,,,unknown,,
standard_severe,baseline_rl,44,True,False,True,False,False,paper_repair_results_fixed_v2/standard_severe/baseline_rl__seed44.json,0.3434661169846852,0.6229095359643301,0.8740386366844177,0.659491499265035,0.7995838125546774,0.6229095359643301,0.0,0.0,0.2666666666666666,0.0046818827589352,0.0,0.8239318604270618,provenance_unavailable,,,,unknown,,
standard_severe,single_shot_llm,42,True,False,True,False,False,paper_repair_results_fixed_v2/standard_severe/single_shot_llm__seed42.json,0.3394684397975603,0.6186127364635468,0.8615386585394541,0.6548512776692709,0.7852780620257059,0.6186127364635468,0.0,0.0,0.2583333333333333,0.0045153483748435,0.0,0.8180529882510503,provenance_unavailable,,,,unknown,,
standard_severe,single_shot_llm,43,True,False,True,False,False,paper_repair_results_fixed_v3/standard_severe/single_shot_llm__seed43.json,0.4750777199015961,0.6223797698815664,0.8675095240275065,0.65894482533137,0.8149617910385132,0.6223797698815664,0.0,0.0,0.2649572649572649,0.0048881448134108,0.3333333333333333,0.8214612528681755,provenance_unavailable,,,,unknown,,
standard_severe,single_shot_llm,44,True,False,True,False,False,paper_repair_results_fixed_v2/standard_severe/single_shot_llm__seed44.json,0.4425514642968488,0.616388072570165,0.8764612674713135,0.6775391399860382,0.805474986632665,0.616388072570165,0.0,0.0,0.2669491525423729,0.0048552246557341,0.1666666666666666,0.8224972690145175,provenance_unavailable,,,,unknown,,
standard_severe,full_outer_loop,42,True,False,True,False,False,paper_repair_results_fixed_v3/standard_severe/full_outer_loop__seed42.json,0.3419940011103948,0.6106939415136973,0.8780909975369772,0.6292971670627594,0.7795518438021342,0.6106939415136973,0.0,0.0,0.2333333333333333,0.0041557927926381,0.0,0.821074728667736,provenance_unavailable,,,,unknown,,
standard_severe,full_outer_loop,43,True,False,True,False,False,paper_repair_results_fixed_v2/standard_severe/full_outer_loop__seed43.json,0.3463303511540095,0.6140250364939371,0.8926214377085367,0.6499689022699991,0.8137054244677225,0.6140250364939371,0.0,0.0,0.2583333333333333,0.0046248053510983,0.0,0.8273262659708659,provenance_unavailable,,,,unknown,,
standard_severe,full_outer_loop,44,True,False,True,False,False,paper_repair_results_fixed_v3/standard_severe/full_outer_loop__seed44.json,0.478375431364721,0.6272300779819489,0.8768164316813151,0.6641920606295267,0.8043163021405538,0.6272300779819489,0.0,0.0,0.2649572649572649,0.004899681433364,0.3333333333333333,0.8264162783821424,provenance_unavailable,,,,unknown,,
standard_severe,ablation_fixed_global,42,True,False,True,False,False,paper_repair_results_fixed_v3/standard_severe/ablation_fixed_global__seed42.json,0.3457951735854149,0.6186127364635468,0.8868164221445719,0.6548512776692709,0.7991692026456197,0.6186127364635468,0.0,0.0,0.2583333333333333,0.0046065094570318,0.0,0.8269002055128415,provenance_unavailable,,,,unknown,,
standard_severe,ablation_fixed_global,43,True,False,True,False,False,paper_repair_results_fixed_v3/standard_severe/ablation_fixed_global__seed43.json,0.4750777199015961,0.6223797698815664,0.8675095240275065,0.65894482533137,0.8149617910385132,0.6223797698815664,0.0,0.0,0.2649572649572649,0.0048881448134108,0.3333333333333333,0.8214612528681755,provenance_unavailable,,,,unknown,,
standard_severe,ablation_fixed_global,44,True,False,True,False,False,paper_repair_results_fixed_v3/standard_severe/ablation_fixed_global__seed44.json,0.478375431364721,0.6272300779819489,0.8768164316813151,0.6641920606295267,0.8043163021405538,0.6272300779819489,0.0,0.0,0.2649572649572649,0.004899681433364,0.3333333333333333,0.8264162783821424,provenance_unavailable,,,,unknown,,
