scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
resource_moderate,baseline_rl,0,0.004850467046101888,0.0011695347770180715,3
resource_moderate,baseline_rl,1,0.008350465032789443,0.0011695290416006445,3
resource_moderate,baseline_rl,2,0.013242261277304756,0.002374864557510026,3
resource_moderate,baseline_rl,3,0.01873360408676995,0.0023748616897854118,3
resource_moderate,baseline_rl,4,0.024412708150015935,0.0024540311066127327,3
resource_moderate,baseline_rl,5,0.026304344336191814,0.0011874810301617628,3
resource_moderate,baseline_rl,6,0.02746621270974477,0.0011878296126420088,3
resource_moderate,baseline_rl,7,0.029372089438968237,9.800473280195968e-05,3
resource_moderate,baseline_rl,8,0.02936536404821608,9.796166840299755e-05,3
resource_moderate,baseline_rl,9,0.03052638305558099,9.791005582754554e-05,3
resource_moderate,baseline_rl,10,0.03052050206396315,9.787564307852269e-05,3
resource_moderate,baseline_rl,11,0.03168502118852404,9.787277194637698e-05,3
resource_moderate,baseline_rl,12,0.03167975942293803,9.75269210428216e-05,3
resource_moderate,baseline_rl,13,0.03220460481113858,0.0008766442964254065,3
resource_moderate,baseline_rl,14,0.03337087399429745,0.0008759497376669323,3
resource_moderate,baseline_rl,15,0.034533702664905123,0.0008759202605651424,3
resource_moderate,baseline_rl,16,0.034529359804259405,0.0008763759660459188,3
resource_moderate,baseline_rl,17,0.034719334708319775,0.001212042551757352,3
resource_moderate,baseline_rl,18,0.03569001787238651,0.0008763845059868567,3
resource_moderate,baseline_rl,19,0.03622271120548248,0.001803703554840147,3
resource_moderate,baseline_rl,20,0.03855439027150472,0.001803488715411183,3
resource_moderate,baseline_rl,21,0.0391211642159356,0.0016105490355527205,3
resource_moderate,baseline_rl,22,0.03911758131451077,0.0016108995623282563,3
resource_moderate,baseline_rl,23,0.039309657282299466,0.0018944206129657831,3
resource_moderate,baseline_rl,24,0.04027810858355629,0.0016104985425251053,3
resource_moderate,baseline_rl,25,0.040274287263552346,0.0016105123855538433,3
resource_moderate,baseline_rl,26,0.041245263483789235,0.0016122693638168319,3
resource_moderate,baseline_rl,27,0.04260312020778656,0.0016108388396436839,3
resource_moderate,baseline_rl,28,0.042599431342548795,0.0016108006651509368,3
resource_moderate,baseline_rl,29,0.042790460917684764,0.0018947784108580916,3
resource_moderate,baseline_rl,30,0.04278823567761316,0.0018943052926297832,3
resource_moderate,baseline_rl,31,0.04375829464859433,0.0016103799930442073,3
resource_moderate,baseline_rl,32,0.04492311510774824,0.0016104689955041501,3
resource_moderate,baseline_rl,33,0.04608653816911909,0.00161081634760015,3
resource_moderate,baseline_rl,34,0.046082700292269387,0.0016103846470196517,3
resource_moderate,baseline_rl,35,0.046078296171294324,0.001610857741979748,3
resource_moderate,baseline_rl,36,0.04724463323752085,0.001610801349751794,3
resource_moderate,baseline_rl,37,0.047239364849196545,0.0016108158590125482,3
resource_moderate,baseline_rl,38,0.04743200374974144,0.0016781571705900564,3
resource_moderate,baseline_rl,39,0.04840234087573158,0.001610831062395294,3
resource_moderate,full_outer_loop,0,0.004850467046101888,0.0005847673885090358,3
resource_moderate,full_outer_loop,1,0.008350458410051135,0.0005847788594282704,3
resource_moderate,full_outer_loop,2,0.012894310885005526,0.001577602926061639,3
resource_moderate,full_outer_loop,3,0.018385653694470722,0.0015775975135739729,3
resource_moderate,full_outer_loop,4,0.02367110053698222,0.0018692665858335063,3
resource_moderate,full_outer_loop,5,0.025569005144966975,0.0012359915476080217,3
resource_moderate,full_outer_loop,6,0.031090607245763142,0.001235985812148402,3
